ID_assets,Auditorium,Floor,Room,Type_asset,Id_type,Ordinal_number,Notes,Description,Year,Origin,Status,ATS
A2-01-0101-TV-01,A2,1,101,Smart TV,TV,1,,Tivi thông minh được sử dụng để trình chiếu nội dung	 hỗ trợ giảng dạy	 hội họp hoặc giải trí thông qua kết nối internet và các thiết bị ngoại vi.,2022,Hàn Quốc,Đang hoạt động,100
A2-01-0101-HDMI-01,A2,1,101,Cable HDMI,HDMI,1,,Cáp HDMI dùng để truyền tín hiệu hình ảnh và âm thanh chất lượng cao giữa các thiết bị như máy tính	 tivi	 máy chiếu hoặc màn hình trình chiếu.,2023,Trung Quốc,Đang sử dụng,100
A2-01-0101-QT-01,A2,1,101,Ceiling fan,QT,1,,Quạt trần được lắp đặt trên trần nhà nhằm tạo luồng gió lưu thông trong phòng	 giúp làm mát và cải thiện không khí trong khu vực sử dụng.,2020,Việt Nam,Ngừng sử dụng,100	
A2-01-0101-QT-02,A2,1,101,Ceiling fan,QT,2,,Quạt trần được lắp đặt trên trần nhà nhằm tạo luồng gió lưu thông trong phòng	 giúp làm mát và cải thiện không khí trong khu vực sử dụng.,2020,Việt Nam,Đang hoạt động,100	
A2-01-0101-QT-03,A2,1,101,Ceiling fan,QT,3,,Quạt trần được lắp đặt trên trần nhà nhằm tạo luồng gió lưu thông trong phòng	 giúp làm mát và cải thiện không khí trong khu vực sử dụng.,2020,Việt Nam,Đang hoạt động,100	
A2-01-0101-QT-04,A2,1,101,Ceiling fan,QT,4,,Quạt trần được lắp đặt trên trần nhà nhằm tạo luồng gió lưu thông trong phòng	 giúp làm mát và cải thiện không khí trong khu vực sử dụng.,2020,Việt Nam,Đang hoạt động,100	
A2-01-0101-AC-01,A2,1,101,Funiki AC,AC,1,,Máy điều hòa không khí thương hiệu Funiki dùng để làm mát và điều chỉnh nhiệt độ trong phòng	 đảm bảo môi trường làm việc và học tập thoải mái.,2022,Việt Nam,Đang hoạt động,100	
A2-01-0101-AC-02,A2,1,101,Funiki AC,AC,2,,Máy điều hòa không khí thương hiệu Funiki dùng để làm mát và điều chỉnh nhiệt độ trong phòng	 đảm bảo môi trường làm việc và học tập thoải mái.,2021,Việt Nam,Đang hoạt động,100	
A2-01-0102-TB-01,A2,1,102,Desk( 2 seats),TB,1,,Bàn học dành cho 2 sinh viên sử dụng trong phòng học. Bàn được bố trí cố định theo hàng để phục vụ hoạt động giảng dạy và học tập.,2021,Việt Nam,Đang hoạt động,100		
A2-01-0102-TB-02,A2,1,102,Desk( 2 seats),TB,2,,Bàn học dành cho 2 sinh viên sử dụng trong phòng học. Bàn được bố trí cố định theo hàng để phục vụ hoạt động giảng dạy và học tập.,2021,Việt Nam,Đang hoạt động,100		
A2-01-0102-TB-03,A2,1,102,Desk( 2 seats),TB,3,,Bàn học dành cho 2 sinh viên sử dụng trong phòng học. Bàn được bố trí cố định theo hàng để phục vụ hoạt động giảng dạy và học tập.,2021,Việt Nam,Đang hoạt động,100	
A2-01-0102-TB-04,A2,1,102,Desk( 2 seats),TB,4,,Bàn học dành cho 2 sinh viên sử dụng trong phòng học. Bàn được bố trí cố định theo hàng để phục vụ hoạt động giảng dạy và học tập.,2021,Việt Nam,Đang hoạt động,100		
A2-01-0102-TB-05,A2,1,102,Desk( 2 seats),TB,5,,Bàn học dành cho 2 sinh viên sử dụng trong phòng học. Bàn được bố trí cố định theo hàng để phục vụ hoạt động giảng dạy và học tập.,2021,Việt Nam,Đang hoạt động,100		
A2-01-0102-TB-06,A2,1,102,Desk( 2 seats),TB,6,,Bàn học dành cho 2 sinh viên sử dụng trong phòng học. Bàn được bố trí cố định theo hàng để phục vụ hoạt động giảng dạy và học tập.,2021,Việt Nam,Đang hoạt động,100		
A2-01-0102-TB-07,A2,1,102,Desk( 2 seats),TB,7,,Bàn học dành cho 2 sinh viên sử dụng trong phòng học. Bàn được bố trí cố định theo hàng để phục vụ hoạt động giảng dạy và học tập.,2021,Việt Nam,Đang hoạt động,100		
A2-01-0102-TB-08,A2,1,102,Desk( 2 seats),TB,8,,Bàn học dành cho 2 sinh viên sử dụng trong phòng học. Bàn được bố trí cố định theo hàng để phục vụ hoạt động giảng dạy và học tập.,2021,Việt Nam,Đang hoạt động,100		
A2-01-0102-TB-09,A2,1,102,Desk( 2 seats),TB,9,,Bàn học dành cho 2 sinh viên sử dụng trong phòng học. Bàn được bố trí cố định theo hàng để phục vụ hoạt động giảng dạy và học tập.,2021,Việt Nam,Đang hoạt động,100		
A2-01-0102-TB-10,A2,1,102,Desk( 2 seats),TB,10,,Bàn học dành cho 2 sinh viên sử dụng trong phòng học. Bàn được bố trí cố định theo hàng để phục vụ hoạt động giảng dạy và học tập.,2021,Việt Nam,Đang hoạt động,100		
A2-01-0102-TB-11,A2,1,102,Desk( 2 seats),TB,11,,Bàn học dành cho 2 sinh viên sử dụng trong phòng học. Bàn được bố trí cố định theo hàng để phục vụ hoạt động giảng dạy và học tập.,2021,Việt Nam,Đang hoạt động,100		
A2-01-0102-TB-12,A2,1,102,Desk( 2 seats),TB,12,,Bàn học dành cho 2 sinh viên sử dụng trong phòng học. Bàn được bố trí cố định theo hàng để phục vụ hoạt động giảng dạy và học tập.,2021,Việt Nam,Đang hoạt động,100		
A2-01-0102-TB-13,A2,1,102,Desk( 2 seats),TB,13,,Bàn học dành cho 2 sinh viên sử dụng trong phòng học. Bàn được bố trí cố định theo hàng để phục vụ hoạt động giảng dạy và học tập.,2021,Việt Nam,Đang hoạt động,100		
A2-01-0102-TB-14,A2,1,102,Desk( 2 seats),TB,14,,Bàn học dành cho 2 sinh viên sử dụng trong phòng học. Bàn được bố trí cố định theo hàng để phục vụ hoạt động giảng dạy và học tập.,2021,Việt Nam,Đang hoạt động,100		
A2-01-0102-TB-15,A2,1,102,Desk( 2 seats),TB,15,,Bàn học dành cho 2 sinh viên sử dụng trong phòng học. Bàn được bố trí cố định theo hàng để phục vụ hoạt động giảng dạy và học tập.,2021,Việt Nam,Đang hoạt động,100		
A2-01-0102-TB-16,A2,1,102,Desk( 2 seats),TB,16,,Bàn học dành cho 2 sinh viên sử dụng trong phòng học. Bàn được bố trí cố định theo hàng để phục vụ hoạt động giảng dạy và học tập.,2021,Việt Nam,Đang hoạt động,100		
A2-01-0102-TB-17,A2,1,102,Desk( 2 seats),TB,17,,Bàn học dành cho 2 sinh viên sử dụng trong phòng học. Bàn được bố trí cố định theo hàng để phục vụ hoạt động giảng dạy và học tập.,2021,Việt Nam,Đang hoạt động,100		
A2-01-0102-TB-18,A2,1,102,Desk( 2 seats),TB,18,,Bàn học dành cho 2 sinh viên sử dụng trong phòng học. Bàn được bố trí cố định theo hàng để phục vụ hoạt động giảng dạy và học tập.,2021,Việt Nam,Đang hoạt động,100		
A2-01-0102-TB-19,A2,1,102,Desk( 2 seats),TB,19,,Bàn học dành cho 2 sinh viên sử dụng trong phòng học. Bàn được bố trí cố định theo hàng để phục vụ hoạt động giảng dạy và học tập.,2021,Việt Nam,Đang hoạt động,100		
A2-01-0102-TB-20,A2,1,102,Desk( 2 seats),TB,20,,Bàn học dành cho 2 sinh viên sử dụng trong phòng học. Bàn được bố trí cố định theo hàng để phục vụ hoạt động giảng dạy và học tập.,2021,Việt Nam,Đang hoạt động,100		
A2-01-0102-TB-21,A2,1,102,Desk( 2 seats),TB,21,,Bàn học dành cho 2 sinh viên sử dụng trong phòng học. Bàn được bố trí cố định theo hàng để phục vụ hoạt động giảng dạy và học tập.,2021,Việt Nam,Đang hoạt động,100		
A2-01-0102-TB-22,A2,1,102,Desk( 2 seats),TB,22,,Bàn học dành cho 2 sinh viên sử dụng trong phòng học. Bàn được bố trí cố định theo hàng để phục vụ hoạt động giảng dạy và học tập.,2021,Việt Nam,Đang hoạt động,100		
A2-01-0102-TB-23,A2,1,102,Desk( 2 seats),TB,23,,Bàn học dành cho 2 sinh viên sử dụng trong phòng học. Bàn được bố trí cố định theo hàng để phục vụ hoạt động giảng dạy và học tập.,2021,Việt Nam,Đang hoạt động,100		
A2-01-0102-TB-24,A2,1,102,Desk( 2 seats),TB,24,,Bàn học dành cho 2 sinh viên sử dụng trong phòng học. Bàn được bố trí cố định theo hàng để phục vụ hoạt động giảng dạy và học tập.,2021,Việt Nam,Đang hoạt động,100		
A2-01-0102-TB-25,A2,1,102,Desk( 2 seats),TB,25,,Bàn học dành cho 2 sinh viên sử dụng trong phòng học. Bàn được bố trí cố định theo hàng để phục vụ hoạt động giảng dạy và học tập.,2021,Việt Nam,Đang hoạt động,100		
A2-01-0102-BGV-01,A2,1,102,Lecturer's desk,BGV,1,,Bàn làm việc dành cho giảng viên đặt tại khu vực giảng dạy	 dùng để đặt máy tính	 tài liệu và các thiết bị hỗ trợ giảng dạy.,2022,Việt Nam,Đang hoạt động,100
A2-01-0102-GGV-01,A2,1,102,Lecturer's chair,GGV,1,,Ghế dành cho giảng viên sử dụng tại bàn giảng dạy trong lớp học hoặc phòng họp	 thiết kế phù hợp cho việc làm việc và giảng dạy,2021,Trung Quốc,Đang hoạt động,100	
A2-01-0102-BP-01,A2,1,102,Sliding chalkboard,BP,1,,Bảng viết phấn dạng trượt được lắp đặt trong lớp học	 cho phép di chuyển các bảng để mở rộng không gian viết khi giảng dạy.,2020,Việt Nam,Đang hoạt động,100	
A2-01-0102-TV-01,A2,1,102,Smart TV,TV,1,,Tivi thông minh được sử dụng để trình chiếu nội dung	 hỗ trợ giảng dạy	 hội họp hoặc giải trí thông qua kết nối internet và các thiết bị ngoại vi.,2022,Hàn Quốc,Đang hoạt động,100
A2-01-0102-HDMI-01,A2,1,102,Cable HDMI,HDMI,1,,Cáp HDMI dùng để truyền tín hiệu hình ảnh và âm thanh chất lượng cao giữa các thiết bị như máy tính	 tivi	 máy chiếu hoặc màn hình trình chiếu.,2023,Trung Quốc,Đang sử dụng,100
A2-01-0102-QT-01,A2,1,102,Ceiling fan,QT,1,,Quạt trần được lắp đặt trên trần nhà nhằm tạo luồng gió lưu thông trong phòng	 giúp làm mát và cải thiện không khí trong khu vực sử dụng.,2020,Việt Nam,Đang hoạt động,100	
A2-01-0102-QT-02,A2,1,102,Ceiling fan,QT,2,,Quạt trần được lắp đặt trên trần nhà nhằm tạo luồng gió lưu thông trong phòng	 giúp làm mát và cải thiện không khí trong khu vực sử dụng.,2020,Việt Nam,Đang hoạt động,100	
A2-01-0102-QT-03,A2,1,102,Ceiling fan,QT,3,,Quạt trần được lắp đặt trên trần nhà nhằm tạo luồng gió lưu thông trong phòng	 giúp làm mát và cải thiện không khí trong khu vực sử dụng.,2020,Việt Nam,Đang hoạt động,100	
A2-01-0102-QT-04,A2,1,102,Ceiling fan,QT,4,,Quạt trần được lắp đặt trên trần nhà nhằm tạo luồng gió lưu thông trong phòng	 giúp làm mát và cải thiện không khí trong khu vực sử dụng.,2020,Việt Nam,Đang hoạt động,100
A2-01-0102-AC-01,A2,1,102,Funiki AC,AC,1,,Máy điều hòa không khí thương hiệu Funiki dùng để làm mát và điều chỉnh nhiệt độ trong phòng	 đảm bảo môi trường làm việc và học tập thoải mái.,2022,Việt Nam,Đang hoạt động,100	
A2-01-0102-AC-02,A2,1,102,Funiki AC,AC,2,,Máy điều hòa không khí thương hiệu Funiki dùng để làm mát và điều chỉnh nhiệt độ trong phòng	 đảm bảo môi trường làm việc và học tập thoải mái.,2022,Việt Nam,Đang hoạt động,100	
A2-01-0103-TB-01,A2,1,103,Desk( 2 seats),TB,1,,Bàn học dành cho 2 sinh viên sử dụng trong phòng học. Bàn được bố trí cố định theo hàng để phục vụ hoạt động giảng dạy và học tập.,2021,Việt Nam,Đang hoạt động,100		
A2-01-0103-TB-02,A2,1,103,Desk( 2 seats),TB,2,,Bàn học dành cho 2 sinh viên sử dụng trong phòng học. Bàn được bố trí cố định theo hàng để phục vụ hoạt động giảng dạy và học tập.,2021,Việt Nam,Đang hoạt động,100		
A2-01-0103-TB-03,A2,1,103,Desk( 2 seats),TB,3,,Bàn học dành cho 2 sinh viên sử dụng trong phòng học. Bàn được bố trí cố định theo hàng để phục vụ hoạt động giảng dạy và học tập.,2021,Việt Nam,Đang hoạt động,100	
A2-01-0103-TB-04,A2,1,103,Desk( 2 seats),TB,4,,Bàn học dành cho 2 sinh viên sử dụng trong phòng học. Bàn được bố trí cố định theo hàng để phục vụ hoạt động giảng dạy và học tập.,2021,Việt Nam,Đang hoạt động,100		
A2-01-0103-TB-05,A2,1,103,Desk( 2 seats),TB,5,,Bàn học dành cho 2 sinh viên sử dụng trong phòng học. Bàn được bố trí cố định theo hàng để phục vụ hoạt động giảng dạy và học tập.,2021,Việt Nam,Đang hoạt động,100	
A2-01-0103-TB-06,A2,1,103,Desk( 2 seats),TB,6,,Bàn học dành cho 2 sinh viên sử dụng trong phòng học. Bàn được bố trí cố định theo hàng để phục vụ hoạt động giảng dạy và học tập.,2021,Việt Nam,Đang hoạt động,100		
A2-01-0103-TB-07,A2,1,103,Desk( 2 seats),TB,7,,Bàn học dành cho 2 sinh viên sử dụng trong phòng học. Bàn được bố trí cố định theo hàng để phục vụ hoạt động giảng dạy và học tập.,2021,Việt Nam,Đang hoạt động,100	
A2-01-0103-TB-08,A2,1,103,Desk( 2 seats),TB,8,,Bàn học dành cho 2 sinh viên sử dụng trong phòng học. Bàn được bố trí cố định theo hàng để phục vụ hoạt động giảng dạy và học tập.,2021,Việt Nam,Đang hoạt động,100		
A2-01-0103-TB-09,A2,1,103,Desk( 2 seats),TB,9,,Bàn học dành cho 2 sinh viên sử dụng trong phòng học. Bàn được bố trí cố định theo hàng để phục vụ hoạt động giảng dạy và học tập.,2021,Việt Nam,Đang hoạt động,100		
A2-01-0103-TB-10,A2,1,103,Desk( 2 seats),TB,10,,Bàn học dành cho 2 sinh viên sử dụng trong phòng học. Bàn được bố trí cố định theo hàng để phục vụ hoạt động giảng dạy và học tập.,2021,Việt Nam,Đang hoạt động,100		
A2-01-0103-TB-11,A2,1,103,Desk( 2 seats),TB,11,,Bàn học dành cho 2 sinh viên sử dụng trong phòng học. Bàn được bố trí cố định theo hàng để phục vụ hoạt động giảng dạy và học tập.,2021,Việt Nam,Đang hoạt động,100	
A2-01-0103-TB-12,A2,1,103,Desk( 2 seats),TB,12,,Bàn học dành cho 2 sinh viên sử dụng trong phòng học. Bàn được bố trí cố định theo hàng để phục vụ hoạt động giảng dạy và học tập.,2021,Việt Nam,Đang hoạt động,100		
A2-01-0103-TB-13,A2,1,103,Desk( 2 seats),TB,13,,Bàn học dành cho 2 sinh viên sử dụng trong phòng học. Bàn được bố trí cố định theo hàng để phục vụ hoạt động giảng dạy và học tập.,2021,Việt Nam,Đang hoạt động,100		
A2-01-0103-TB-14,A2,1,103,Desk( 2 seats),TB,14,,Bàn học dành cho 2 sinh viên sử dụng trong phòng học. Bàn được bố trí cố định theo hàng để phục vụ hoạt động giảng dạy và học tập.,2021,Việt Nam,Đang hoạt động,100		
A2-01-0103-TB-15,A2,1,103,Desk( 2 seats),TB,15,,Bàn học dành cho 2 sinh viên sử dụng trong phòng học. Bàn được bố trí cố định theo hàng để phục vụ hoạt động giảng dạy và học tập.,2021,Việt Nam,Đang hoạt động,100		
A2-01-0103-TB-16,A2,1,103,Desk( 2 seats),TB,16,,Bàn học dành cho 2 sinh viên sử dụng trong phòng học. Bàn được bố trí cố định theo hàng để phục vụ hoạt động giảng dạy và học tập.,2021,Việt Nam,Đang hoạt động,100	
A2-01-0103-TB-17,A2,1,103,Desk( 2 seats),TB,17,,Bàn học dành cho 2 sinh viên sử dụng trong phòng học. Bàn được bố trí cố định theo hàng để phục vụ hoạt động giảng dạy và học tập.,2021,Việt Nam,Đang hoạt động,100		
A2-01-0103-TB-18,A2,1,103,Desk( 2 seats),TB,18,,Bàn học dành cho 2 sinh viên sử dụng trong phòng học. Bàn được bố trí cố định theo hàng để phục vụ hoạt động giảng dạy và học tập.,2021,Việt Nam,Đang hoạt động,100		
A2-01-0103-TB-19,A2,1,103,Desk( 2 seats),TB,19,,Bàn học dành cho 2 sinh viên sử dụng trong phòng học. Bàn được bố trí cố định theo hàng để phục vụ hoạt động giảng dạy và học tập.,2021,Việt Nam,Đang hoạt động,100		
A2-01-0103-TB-20,A2,1,103,Desk( 2 seats),TB,20,,Bàn học dành cho 2 sinh viên sử dụng trong phòng học. Bàn được bố trí cố định theo hàng để phục vụ hoạt động giảng dạy và học tập.,2021,Việt Nam,Đang hoạt động,100	
A2-01-0103-TB-21,A2,1,103,Desk( 2 seats),TB,21,,Bàn học dành cho 2 sinh viên sử dụng trong phòng học. Bàn được bố trí cố định theo hàng để phục vụ hoạt động giảng dạy và học tập.,2021,Việt Nam,Đang hoạt động,100		
A2-01-0103-TB-22,A2,1,103,Desk( 2 seats),TB,22,,Bàn học dành cho 2 sinh viên sử dụng trong phòng học. Bàn được bố trí cố định theo hàng để phục vụ hoạt động giảng dạy và học tập.,2021,Việt Nam,Đang hoạt động,100		
A2-01-0103-TB-23,A2,1,103,Desk( 2 seats),TB,23,,Bàn học dành cho 2 sinh viên sử dụng trong phòng học. Bàn được bố trí cố định theo hàng để phục vụ hoạt động giảng dạy và học tập.,2021,Việt Nam,Đang hoạt động,100		
A2-01-0103-TB-24,A2,1,103,Desk( 2 seats),TB,24,,Bàn học dành cho 2 sinh viên sử dụng trong phòng học. Bàn được bố trí cố định theo hàng để phục vụ hoạt động giảng dạy và học tập.,2021,Việt Nam,Đang hoạt động,100		
A2-01-0103-TB-25,A2,1,103,Desk( 2 seats),TB,25,,Bàn học dành cho 2 sinh viên sử dụng trong phòng học. Bàn được bố trí cố định theo hàng để phục vụ hoạt động giảng dạy và học tập.,2021,Việt Nam,Đang hoạt động,100		
A2-01-0103-BGV-01,A2,1,103,Lecturer's desk,BGV,1,,Bàn làm việc dành cho giảng viên đặt tại khu vực giảng dạy	 dùng để đặt máy tính	 tài liệu và các thiết bị hỗ trợ giảng dạy.,2022,Việt Nam,Đang hoạt động,100
A2-01-0103-GGV-01,A2,1,103,Lecturer's chair,GGV,1,,Ghế dành cho giảng viên sử dụng tại bàn giảng dạy trong lớp học hoặc phòng họp	 thiết kế phù hợp cho việc làm việc và giảng dạy,2021,Trung Quốc,Đang hoạt động,100	
A2-01-0103-BP-01,A2,1,103,Sliding chalkboard,BP,1,,Bảng viết phấn dạng trượt được lắp đặt trong lớp học	 cho phép di chuyển các bảng để mở rộng không gian viết khi giảng dạy.,2020,Việt Nam,Đang hoạt động,100	
A2-01-0103-TV-01,A2,1,103,Smart TV,TV,1,,Tivi thông minh được sử dụng để trình chiếu nội dung	 hỗ trợ giảng dạy	 hội họp hoặc giải trí thông qua kết nối internet và các thiết bị ngoại vi.,2022,Hàn Quốc,Đang hoạt động,100
A2-01-0103-HDMI-01,A2,1,103,Cable HDMI,HDMI,1,,Cáp HDMI dùng để truyền tín hiệu hình ảnh và âm thanh chất lượng cao giữa các thiết bị như máy tính	 tivi	 máy chiếu hoặc màn hình trình chiếu.,2023,Trung Quốc,Đang sử dụng,100
A2-01-0103-QT-01,A2,1,103,Ceiling fan,QT,1,,Quạt trần được lắp đặt trên trần nhà nhằm tạo luồng gió lưu thông trong phòng	 giúp làm mát và cải thiện không khí trong khu vực sử dụng.,2020,Việt Nam,Đang hoạt động,100	
A2-01-0103-QT-02,A2,1,103,Ceiling fan,QT,2,,Quạt trần được lắp đặt trên trần nhà nhằm tạo luồng gió lưu thông trong phòng	 giúp làm mát và cải thiện không khí trong khu vực sử dụng.,2020,Việt Nam,Đang hoạt động,100	
A2-01-0103-QT-03,A2,1,103,Ceiling fan,QT,3,,Quạt trần được lắp đặt trên trần nhà nhằm tạo luồng gió lưu thông trong phòng	 giúp làm mát và cải thiện không khí trong khu vực sử dụng.,2020,Việt Nam,Đang hoạt động,100	
A2-01-0103-QT-04,A2,1,103,Ceiling fan,QT,4,,Quạt trần được lắp đặt trên trần nhà nhằm tạo luồng gió lưu thông trong phòng	 giúp làm mát và cải thiện không khí trong khu vực sử dụng.,2020,Việt Nam,Đang hoạt động,100	
A2-01-0103-AC-01,A2,1,103,Funiki AC,AC,1,,Máy điều hòa không khí thương hiệu Funiki dùng để làm mát và điều chỉnh nhiệt độ trong phòng	 đảm bảo môi trường làm việc và học tập thoải mái.,2022,Việt Nam,Đang hoạt động,100	
A2-01-0103-AC-02,A2,1,103,Funiki AC,AC,2,,Máy điều hòa không khí thương hiệu Funiki dùng để làm mát và điều chỉnh nhiệt độ trong phòng	 đảm bảo môi trường làm việc và học tập thoải mái.,2022,Việt Nam,Đang hoạt động,100	
